name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Christian Fuchs,4.0,35.0,41.0,0.66,0.0,4.0,58.0,70.0,35.0,0.0,132.0,115.0,91.0,9.0,61.0,37.0,1.0,0.0,1.0,896.0,35.84,0.0,71.0,0.14,1.0,56.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
 Phil Jagielka,6.0,39.0,33.0,0.7,0.0,2.0,39.0,177.0,89.0,2.0,123.0,114.0,67.0,1.0,67.0,42.0,0.0,0.0,0.0,966.0,38.64,0.0,4.0,0.0,0.0,110.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Laurent Koscielny,8.0,32.0,43.0,0.49,0.0,2.0,54.0,134.0,79.0,0.0,160.0,148.0,92.0,2.0,80.0,61.0,0.0,1.0,0.0,1745.0,69.8,0.0,5.0,0.2,2.0,111.0,4.0,0.0,14.0,2.0,2.0,1.0,1.0,0.0,1.0
 Joel Matip,9.0,27.0,35.0,0.69,0.0,2.0,35.0,96.0,58.0,1.0,123.0,104.0,58.0,3.0,57.0,21.0,0.0,1.0,0.0,1655.0,66.2,1.0,0.0,0.0,1.0,91.0,3.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0
 Bruno,8.0,23.0,30.0,0.57,0.0,0.0,38.0,60.0,31.0,0.0,116.0,81.0,61.0,15.0,28.0,22.0,0.0,0.0,0.0,973.0,38.92,0.0,41.0,0.17,0.0,62.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ben Chilwell,4.0,30.0,36.0,0.72,0.0,2.0,28.0,62.0,33.0,0.0,129.0,156.0,129.0,31.0,67.0,61.0,0.0,1.0,2.0,901.0,37.54,4.0,84.0,0.2,0.0,27.0,1.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
 Florian Lejeune,5.0,32.0,33.0,0.61,1.0,4.0,46.0,146.0,81.0,1.0,128.0,141.0,89.0,12.0,83.0,51.0,0.0,0.0,2.0,1071.0,44.63,2.0,4.0,0.0,2.0,108.0,3.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
 Jeffrey Schlupp,3.0,30.0,57.0,0.63,0.0,3.0,24.0,54.0,29.0,0.0,113.0,116.0,127.0,13.0,39.0,51.0,0.0,0.0,1.0,654.0,27.25,2.0,31.0,0.1,0.0,27.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
 Tommy Smith,5.0,31.0,38.0,0.71,1.0,2.0,26.0,72.0,34.0,1.0,109.0,83.0,60.0,9.0,18.0,15.0,0.0,1.0,1.0,792.0,33.0,2.0,64.0,0.19,1.0,43.0,7.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0
 Kieran Trippier,7.0,21.0,52.0,0.58,0.0,1.0,20.0,45.0,23.0,0.0,147.0,120.0,81.0,13.0,36.0,29.0,0.0,0.0,5.0,1266.0,52.75,7.0,122.0,0.19,5.0,74.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0
